,sold_at,type,price_total,status,date
181,2017-08-30 17:00:00,retail_medical,0.0,sale,2017-08-30
182,2017-08-31 17:00:00,retail_medical,0.0,sale,2017-08-31
183,2017-09-01 17:00:00,retail_medical,0.0,sale,2017-09-01
184,2017-09-02 17:00:00,retail_medical,0.0,sale,2017-09-02
185,2017-09-03 17:00:00,retail_medical,0.0,sale,2017-09-03
186,2017-09-04 17:00:00,retail_medical,0.0,sale,2017-09-04
187,2017-09-05 17:00:00,retail_medical,0.0,sale,2017-09-05
188,2017-09-06 17:00:00,retail_medical,0.0,sale,2017-09-06
189,2017-09-07 17:00:00,retail_medical,0.0,sale,2017-09-07
190,2017-09-08 17:00:00,retail_medical,0.0,sale,2017-09-08
191,2017-09-09 17:00:00,retail_medical,0.0,sale,2017-09-09
192,2017-09-10 17:00:00,retail_medical,0.0,sale,2017-09-10
193,2017-09-11 17:00:00,retail_medical,0.0,sale,2017-09-11
194,2017-09-12 17:00:00,retail_medical,0.0,sale,2017-09-12
195,2017-09-13 17:00:00,retail_medical,0.0,sale,2017-09-13
196,2017-09-14 17:00:00,retail_medical,0.0,sale,2017-09-14
197,2017-09-15 17:00:00,retail_medical,0.0,sale,2017-09-15
198,2017-09-17 17:00:00,retail_medical,0.0,sale,2017-09-17
199,2017-09-19 17:00:00,retail_medical,0.0,sale,2017-09-19
200,2017-09-24 17:00:00,retail_medical,0.0,sale,2017-09-24
201,2017-09-28 17:00:00,retail_medical,0.0,sale,2017-09-28
202,2017-09-29 17:00:00,retail_medical,0.0,sale,2017-09-29
203,2017-10-01 17:00:00,retail_medical,0.0,sale,2017-10-01
204,2017-10-02 17:00:00,retail_medical,61.64,sale,2017-10-02
205,2017-10-03 17:00:00,retail_medical,0.0,sale,2017-10-03
206,2017-10-04 17:00:00,retail_medical,0.0,sale,2017-10-04
207,2017-10-05 17:00:00,retail_medical,0.0,sale,2017-10-05
208,2017-10-06 17:00:00,retail_medical,0.0,sale,2017-10-06
209,2017-10-10 17:00:00,retail_medical,0.0,sale,2017-10-10
210,2017-10-11 17:00:00,retail_medical,0.0,sale,2017-10-11
211,2017-10-13 17:00:00,retail_medical,0.0,sale,2017-10-13
212,2017-10-17 17:00:00,retail_medical,0.0,sale,2017-10-17
213,2017-10-18 17:00:00,retail_medical,0.0,sale,2017-10-18
214,2017-10-20 17:00:00,retail_medical,0.0,sale,2017-10-20
215,2017-10-23 17:00:00,retail_medical,0.0,sale,2017-10-23
216,2017-10-24 17:00:00,retail_medical,0.0,sale,2017-10-24
217,2017-10-25 17:00:00,retail_medical,0.0,sale,2017-10-25
218,2017-10-26 17:00:00,retail_medical,0.0,sale,2017-10-26
219,2017-10-27 17:00:00,retail_medical,0.0,sale,2017-10-27
220,2017-10-28 17:00:00,retail_medical,0.0,sale,2017-10-28
221,2017-10-29 17:00:00,retail_medical,61.77,sale,2017-10-29
222,2017-10-30 17:00:00,retail_medical,0.0,sale,2017-10-30
223,2018-02-13 16:00:00,retail_medical,-646.8200000000002,return,2018-02-13
224,2018-02-13 16:00:00,retail_medical,2440873.779999996,sale,2018-02-13
225,2018-02-13 16:00:00,wholesale,6599498.84,sale,2018-02-13
226,2018-02-14 16:00:00,retail_recreational,56499.19000000007,sale,2018-02-14
227,2017-10-12 17:00:00,retail_medical,0.0,sale,2017-10-12
228,2017-10-14 17:00:00,retail_medical,0.0,sale,2017-10-14
229,2017-10-16 17:00:00,retail_medical,0.0,sale,2017-10-16
230,2017-10-19 17:00:00,retail_medical,0.0,sale,2017-10-19
231,2017-10-21 17:00:00,retail_medical,0.0,sale,2017-10-21
232,2017-10-22 17:00:00,retail_medical,0.0,sale,2017-10-22
233,2018-02-13 16:00:00,retail_recreational,46382.49999999999,sale,2018-02-13
234,2018-02-14 16:00:00,wholesale,5432121.48,sale,2018-02-14
235,2018-02-14 16:00:00,retail_medical,-396.7800000000001,return,2018-02-14
236,2018-02-14 16:00:00,retail_medical,2407261.4699999923,sale,2018-02-14
237,2018-02-15 16:00:00,retail_medical,-545.52,return,2018-02-15
238,2018-02-15 16:00:00,retail_medical,3243363.2999999854,sale,2018-02-15
239,2018-02-15 16:00:00,wholesale,3938358.220000001,sale,2018-02-15
240,2018-02-16 16:00:00,retail_medical,2707542.649999995,sale,2018-02-16
241,2018-02-16 16:00:00,wholesale,2350331.19,sale,2018-02-16
242,2018-02-16 16:00:00,retail_medical,-556.3,return,2018-02-16
243,2018-02-17 16:00:00,retail_medical,-265.45000000000005,return,2018-02-17
244,2018-02-17 16:00:00,retail_medical,2018656.2599999993,sale,2018-02-17
245,2018-02-17 16:00:00,wholesale,3805746.95,sale,2018-02-17
246,2018-02-17 16:00:00,retail_recreational,42626.16000000009,sale,2018-02-17
247,2018-02-18 16:00:00,wholesale,3288593.6899999985,sale,2018-02-18
248,2018-02-18 16:00:00,retail_medical,-625.7400000000001,return,2018-02-18
249,2018-02-18 16:00:00,retail_medical,2086458.3900000027,sale,2018-02-18
250,2018-02-19 16:00:00,retail_medical,-672.8800000000002,return,2018-02-19
251,2018-02-19 16:00:00,retail_medical,2294163.3399999915,sale,2018-02-19
252,2018-02-19 16:00:00,wholesale,4944541.080000002,sale,2018-02-19
253,2018-02-19 16:00:00,retail_recreational,62544.920000000275,sale,2018-02-19
254,2018-02-20 16:00:00,retail_medical,-511.49,return,2018-02-20
255,2018-02-20 16:00:00,retail_medical,2320246.5899999966,sale,2018-02-20
256,2018-02-20 16:00:00,wholesale,4830576.1499999985,sale,2018-02-20
257,2018-02-20 16:00:00,retail_recreational,43246.920000000006,sale,2018-02-20
258,2018-02-21 16:00:00,retail_medical,-464.3299999999999,return,2018-02-21
259,2018-02-21 16:00:00,retail_medical,2847167.02000001,sale,2018-02-21
260,2018-02-21 16:00:00,retail_recreational,5.21,return,2018-02-21
261,2018-02-21 16:00:00,retail_recreational,64977.94999999999,sale,2018-02-21
262,2018-02-21 16:00:00,wholesale,5576007.889999996,sale,2018-02-21
263,2018-02-22 16:00:00,retail_medical,-602.21,return,2018-02-22
264,2018-02-22 16:00:00,retail_medical,3290615.9400000055,sale,2018-02-22
265,2018-02-22 16:00:00,wholesale,5786110.430000001,sale,2018-02-22
266,2018-02-23 16:00:00,retail_medical,-369.90000000000003,return,2018-02-23
267,2018-02-23 16:00:00,retail_medical,2756817.5699999765,sale,2018-02-23
268,2018-02-23 16:00:00,wholesale,3625344.450000001,sale,2018-02-23
