status,date,type,price_total,status
sale,2018-05-26,retail_recreational,646533.0800000018,sale
sale,2018-05-26,wholesale,499825.50000000006,sale
return,2018-05-27,retail_medical,-264.35999999999996,return
sale,2018-05-27,retail_medical,1415548.1599999834,sale
sale,2018-05-27,retail_recreational,621499.980000001,sale
sale,2018-05-27,wholesale,1581731.479999999,sale
return,2018-05-28,retail_medical,-440.95,return
sale,2018-05-28,retail_medical,1439594.1300000104,sale
sale,2018-05-28,retail_recreational,615472.0000000013,sale
sale,2018-05-28,wholesale,4297290.399999998,sale
return,2018-05-29,retail_medical,-613.9499999999999,return
sale,2018-05-29,retail_medical,1520879.1399999778,sale
sale,2018-05-29,retail_recreational,666227.9300000023,sale
sale,2018-05-29,wholesale,4042507.999999997,sale
return,2018-05-30,retail_medical,-301.40999999999997,return
sale,2018-05-30,retail_medical,1292390.9600000035,sale
sale,2018-05-30,retail_recreational,1095316.8399999929,sale
sale,2018-05-30,wholesale,3721202.9000000013,sale
return,2018-05-31,retail_medical,-398.13000000000005,return
sale,2018-05-31,retail_medical,939405.7999999974,sale
sale,2018-05-31,retail_recreational,2772810.260000016,sale
